program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,NRCS Conservation Programsd,2028,3681.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,115,9
USDA Farm Programs,NRCS Conservation Programsd,2029,3684.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,115,10
USDA Farm Programs,NRCS Conservation Programsd,2030,3672.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,115,11
USDA Farm Programs,NRCS Conservation Programsd,2031,3674.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,115,12
USDA Farm Programs,NRCS Conservation Programsd,2032,3797.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,115,13
USDA Farm Programs,NRCS Conservation Programsd,2033,3837.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / NRCS Conservation Programsd,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,115,14
USDA Farm Programs,Conservation Program Totale,2022,4967.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,117,3
USDA Farm Programs,Conservation Program Totale,2023,5002.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,117,4
USDA Farm Programs,Conservation Program Totale,2024,5078.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,117,5
USDA Farm Programs,Conservation Program Totale,2025,5352.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,117,6
