program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Planted Acres,2026,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2026,2026,2026,1240,6
USDA Farm Programs,Planted Acres,2027,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2027,2027,2027,1240,7
USDA Farm Programs,Planted Acres,2028,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2028,2028,2028,1240,8
USDA Farm Programs,Planted Acres,2029,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2029,2029,2029,1240,9
USDA Farm Programs,Planted Acres,2030,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2030,2030,2030,1240,10
USDA Farm Programs,Planted Acres,2031,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2031,2031,2031,1240,11
USDA Farm Programs,Planted Acres,2032,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2032,2032,2032,1240,12
USDA Farm Programs,Planted Acres,2033,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2033,2033,2033,1240,13
USDA Farm Programs,Planted Acres,2034,6.4,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Planted Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2034,2034,2034,1240,14
USDA Farm Programs,Harvested Acres,2022,4.6,Millions,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Acreage / Harvested Acres,SORGHUM SUPPLY AND USE,Acreage,,fiscal_year,2022,2022,2022,1241,2
